neighborhood,latitude,longitude,status
Ali Demi,41.327689,19.8393238,OK
Allias,41.3496247,19.8377103,OK
Astir,41.3291659,19.7831572,OK
Mjull bathore,41.2894844,19.8325529,OK
Blloku,41.3214485,19.8138615,OK
Vasil Shanto,41.3211557,19.805496,OK
Brryli,41.3313537,19.8347799,OK
Don Bosko,41.3408491,19.8012378,OK
Ish Fusha e Aviacionit,41.3325127,19.7921222,OK
Stacioni Trenit,41.3357863,19.8147672,OK
Fresku,41.3452701,19.8561517,OK
Kinostudio,41.3459521,19.8481646,OK
Kamez,41.3835259,19.7604224,OK
Kombinat,41.3119059,19.762674,OK
Komuna e Parisit,41.3156139,19.8048399,OK
Laprake,41.3390112,19.793865,OK
Medreseja,41.3379612,19.8263032,OK
Myslym Shyri,41.324836,19.8097929,OK
21 Dhjetori,41.3258217,19.8034331,OK
Oxhaku,41.3404218,19.844708,OK
Pazari i Ri,41.3302464,19.8243503,OK
Pallati me shigjeta,41.3209033,19.7935652,OK
Ish Parku,41.3218167,19.7931549,OK
Porcelani,41.3447903,19.8452211,OK
Qytet Studenti,41.3214,19.8345154,OK
Sauk,41.3004474,19.8321262,OK
Selite,41.3141063,19.7945324,OK
Shallvaret,41.323809,19.81785,OK
Shkolla e Bashkuar,41.3432757,19.8398478,OK
Shkoze,41.3325147,19.8549771,OK
Tufine,41.367124,19.8717187,OK
Yzberisht,41.3233443,19.7737453,OK
Zogu i Zi,41.3333597,19.8042872,OK
